0	0	355
0	30	363
1	0	369
1	30	378
2	0	382
2	30	385
3	0	385
3	30	384
4	0	380
4	30	375
5	0	368
5	30	361
6	0	354
6	30	348
7	0	344
7	30	341
8	0	339
8	30	341
9	0	344
9	30	348
10	0	351
10	30	356
11	0	361
11	30	366
12	0	369
12	30	373
13	0	374
13	30	375
14	0	374
14	30	373
15	0	371
15	30	367
16	0	364
16	30	360
17	0	356
17	30	353
18	0	350
18	30	348
19	0	347
19	30	346
20	0	347
20	30	349
21	0	351
21	30	353
22	0	356
22	30	359
23	0	362
23	30	364
24	0	366
24	30	367
25	0	367
25	30	366
26	0	364
26	30	362
27	0	359
27	30	357
28	0	354
28	30	352
29	0	349
29	30	348
30	0	349
