0	0	495
0	30	483
1	0	467
1	30	451
2	0	435
2	30	421
3	0	411
3	30	403
4	0	400
4	30	402
5	0	406
5	30	415
6	0	426
6	30	438
7	0	452
7	30	464
8	0	474
8	30	482
9	0	486
9	30	487
10	0	485
10	30	479
11	0	471
11	30	462
12	0	451
12	30	440
13	0	431
13	30	424
14	0	419
14	30	417
15	0	417
15	30	419
16	0	425
16	30	433
17	0	439
17	30	447
18	0	454
18	30	460
19	0	465
19	30	468
20	0	469
20	30	467
21	0	465
21	30	460
22	0	455
22	30	450
23	0	444
23	30	439
24	0	435
24	30	432
25	0	430
25	30	429
26	0	430
26	30	433
27	0	436
27	30	440
28	0	444
28	30	449
29	0	453
29	30	455
30	0	458
